date,satisfaction_ratings,age_range,usage_ratings,condition,gender,consumer,effectiveness_ratings,comment,duration
6/29/2018,3,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,5,"I started taking 200 mg of Invokana a day and lost 10lbs and brought my A1C from 9 to 8. Then after about 2 years it stopped working and I was put on 300mg and lost another 10 lbs. A year later and my A1C is going back up and have to add Trulicity once a week and Doctor upped my Glimepiride from 2 mg to 4 mg. I had no side effects with Invokana but you have to drink a lot of water with Invokana ca
					...
					",2 to less than 5 years
2/11/2018,1,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,I started taking 200 mg of Invokana a day and lost 10lbs and brought my A1C from 9 to 8. Then after about 2 years it stopped working and I was put on 300mg and lost another 10 lbs. A year later and my A1C is going back up and have to add Trulicity once a week and Doctor upped my Glimepiride from 2 mg to 4 mg. I had no side effects with Invokana but you have to drink a lot of water with Invokana cause thatâ??s how you get rid of the sugar. Hopefully no side effects from the Trulicity.,1 to less than 2 years
11/21/2017,4,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",NA,Patient,4,Acute pancreatitis episode which is rare but has been found.  Needs to be added to side effects.  ,6 months to less than 1 year
10/25/2017,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,Acute pancreatitis episode which is rare but has been found.  Needs to be added to side effects.  ,1 to 6 months
6/28/2017,5,65-74,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I started taking 100mg w/Lantus per doctor. Now I'm taking 300mg w/o Lantus. My A1C went from 7.8 to 6.3. Only side effect is loss of weigh. I went from 154-144 in 4 months; I'm 5'8"" I looked sick. But over all no other side effects. I'm monitoring my meds, next update coming up 12/7, up my #'s are still good. ",1 to 6 months
7/15/2015,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"using it for 5 weeks in conjunction with metformin and januvia, blood sugar is down 60-100 points!",1 to 6 months
6/16/2015,5,35-44,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"using it for 5 weeks in conjunction with metformin and januvia, blood sugar is down 60-100 points!",1 to 6 months
6/8/2015,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I was on 2 types of insulin. Taking Invokana has completely taken me off insulin. It does make me urinate frequently, but I'll take that over injections anytime!",1 to 6 months
6/7/2015,1,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,"I was on 2 types of insulin. Taking Invokana has completely taken me off insulin. It does make me urinate frequently, but I'll take that over injections anytime!",1 to 6 months
6/6/2015,1,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,1,"I have tried everything from oral medication to insulin in attempt to control the blood sugar. When my a1c went up to 11, my MD prescribed Invokana. There was an immediate improvement in the blood sugar level. This medication worked wonders for me.",less than 1 month
7/23/2015,1,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,"I took this drug for 5 days and the side effects were horrible.  My doctor switched me to farxiga and that was even worse with side effects.  I thought I would end up in the ER from the pounding, racing heart.  I am back on my previous meds and feeling much better.  ",less than 1 month
7/20/2015,4,65-74,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,4,"I took this drug for 5 days and the side effects were horrible.  My doctor switched me to farxiga and that was even worse with side effects.  I thought I would end up in the ER from the pounding, racing heart.  I am back on my previous meds and feeling much better.  ",1 to 6 months
7/20/2015,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,Up till now it is satisfactory ,1 to 6 months
7/17/2015,1,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,Up till now it is satisfactory ,No duration input
7/15/2015,4,65-74,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,4,"My A1C was 10.9 now down to 7.0.......highly pleased, no side affects, all other blood work great.",6 months to less than 1 year
9/2/2015,4,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,"I have been using this medication for 6 months. It worked well in helping to reduce my AIC, but I just hate the vaginal bacterial infections. I read that after 6 months of using the medication the infections will subside. I still get them. I do take a pro-biotic tablet, but it's not that strong. I will try taking some of the expensive Ultimate Flora Women's Complete 90 Billion pro-biotic t
					...
					",6 months to less than 1 year
8/30/2015,5,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"I have been using this medication for 6 months. It worked well in helping to reduce my AIC, but I just hate the vaginal bacterial infections. I read that after 6 months of using the medication the infections will subside. I still get them. I do take a pro-biotic tablet, but it's not that strong. I will try taking some of the expensive Ultimate Flora Women's Complete 90 Billion pro-biotic tablets that I read about on this site. Hopefully they will help eliminate the bacterial infections. Drink plenty of water because you can experience dehydration really fast. I have noticed that my weight stays down with this medication. I take the Invokana 300mg and Humalog + Lantus.",1 to 6 months
8/25/2015,1,65-74,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,2,"I am always scared when I take any new meds, after I took Invokana, I felt the change in my body, I was a little fatigued for a week, but got adjusted to it.  After a month and a half of taking it, my daily clucose readings are lower and  I lost over 11 pounds and I never felt better.  I like this medication a lot, it has drastically changed my life. ",less than 1 month
8/24/2015,1,25-34,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,2,"I am always scared when I take any new meds, after I took Invokana, I felt the change in my body, I was a little fatigued for a week, but got adjusted to it.  After a month and a half of taking it, my daily clucose readings are lower and  I lost over 11 pounds and I never felt better.  I like this medication a lot, it has drastically changed my life. ",1 to 6 months
7/24/2015,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,"I had the typical yeast infection at the 100 mg dosage.  When I went to the 300 mg dosage, I began to have terribly servere and painful leg and foot cramps almost immediately every single night.  I did not have uninterrupted sleep for the entire time I took this drug.  I think it is very dangerous, causing severe dehydration which, even after 3 weeks off the drug, I continue to experience.  And I 
					...
					",6 months to less than 1 year
10/5/2015,1,55-64,4,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,1,Beware you will lose bladder control with this medication to the point that you will pee in your pants.  Also makes you very thirsty.  I took it for a few weeks and will not take it again.,less than 1 month
9/21/2015,4,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,4,Beware you will lose bladder control with this medication to the point that you will pee in your pants.  Also makes you very thirsty.  I took it for a few weeks and will not take it again.,less than 1 month
9/18/2015,5,45-54,5,"
					Condition: Type 2 Diabetes Mellitus",Male,Patient,5,I have just started taking med hope it works without any problem. will come back in few weeks and let you know how it work. don't like taking new med. but I do trust my Dr. If you read review here makes you not want to take this med. my A1c is 6.7 need to be lower and need to lost weight 399   ,1 to 6 months
9/15/2015,1,45-54,4,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,4,I have just started taking med hope it works without any problem. will come back in few weeks and let you know how it work. don't like taking new med. but I do trust my Dr. If you read review here makes you not want to take this med. my A1c is 6.7 need to be lower and need to lost weight 399   ,6 months to less than 1 year
9/4/2015,5,55-64,5,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,5,"A1C dropped from 9.5 to 6.6 in less than two months. As a result I'm no longer taking insulin. It did lower my blood pressure, so I was able to get off BP meds as well. I'm very pleased with how it's working for me!",1 to 6 months
11/5/2015,3,45-54,3,"
					Condition: Type 2 Diabetes Mellitus",Female,Patient,3,This med made my stomach upset. Was going to the bathroom a lot at night. At least 3 to 4 times. I did loose about 5lbs. Terrible yeast infections. A1c did go up. on it for only 3 months    ,1 to 6 months
